1234567891234,aly@gmail.com,01007826151,(null),0.00,2025,1,0
27525965875498078,aly@gmail,01007826151,(null),0.00,2025,1,0
1511771230,khaled,koloold,01007826151,3000.00,12,2025,1
1511771230,fjkj,fkff,01007826151,2000.00,12,2025,1
27525965875498078,mohamed,01007826151,(null),0.00,2025,1,0
27525965875498078,leo,01007826158,(null),0.00,2025,1,0
27525965875498078,aled,01007826151,(null),0.00,2025,1,0
27525966276004130,ahemde,01024643455,(null),0.00,2025,1,0
1912277282,ali,ohamed,01007826137,8000.00,12,2025,1
1912277282,ahmed,li,01007823158,9000.00,12,2025,1
1234567891234,ali,mohamed,01007826151,4000.00,12,2025,1
